stitch_flat_id,drug_name,sider_version,atc_codes
CID100072054,darifenacin,4.1,G04BD10
CID100213039,darunavir,4.1,J05AE10
CID103062316,dasatinib,4.1,L01XE06
CID105493381,deferasirox,4.1,V03AC03
CID100002972,deferiprone,4.1,V03AC02
CID100002973,deferoxamine,4.1,V03AC01
CID116136245,degarelix,4.1,L02BX02
CID106477186,delamanid,4.1,
CID100005625,delavirdine,4.1,J05AG02
CID100002978,delta,4.1,A04AD10
CID151601240,demeclocycline,4.1,D06AA01; J01AA01
CID100005877,demethyl,4.1,
CID100005195,deprenyl,4.1,N04BD01
CID100042113,desflurane,4.1,N01AB07
CID100002995,desipramine,4.1,N06AA01
CID100124087,desloratadine,4.1,R06AX27
CID100027991,desmopressin,4.1,H01BA02
CID100040973,desogestrel,4.1,G03AC09
CID100012536,desonide,4.1,D07AB08; S01BA11
CID100003000,desoximetasone,4.1,D07AC03; D07XC02
CID100125017,desvenlafaxine,4.1,N06AX23
CID100002367,dexamethasone,4.1,
CID100003003,dexamethasone,4.1,A01AC02; A07EA04; C05AA05; C05AA09; D07AB19; D07AC01; D07XB05; D07XC01; D10AA03; H02AB01; H02AB02; R01AD03; R01AD06; R03BA04; S01BA01; S01BA06; S01CB01; S01CB04; S02BA06; S02BA07; S03BA01; S03BA03
CID100060612,dexmedetomidine,4.1,N05CM18
CID100004678,dexpanthenol,4.1,A11HA30; D03AX03; S01XA12
CID100030623,dexrazoxane,4.1,V03AF02
CID100102399,dextran,4.1,B05AA05
CID100003008,dextromethorphan,4.1,R05DA09
CID100003918,dextrorphan,4.1,
CID100002140,diatrizoate,4.1,V08AA01
CID100003016,diazepam,4.1,N05BA01
CID100003019,diazoxide,4.1,C02DA01; V03AH01
CID100003038,dichlorphenamide,4.1,S01EC02
CID100003032,diclofenac,4.1,D11AX18; M01AB05; M02AA15; S01BC03
CID100003040,dicloxacillin,4.1,J01CF01
CID100003042,dicyclomine,4.1,A03AA07
CID100003043,didanosine,4.1,J05AF02
CID100003053,diethylenetriaminepentaacetic,4.1,
CID100007029,diethylpropion,4.1,A08AA03
CID100003056,diflorasone,4.1,
CID100003059,diflunisal,4.1,N02BA11
CID100003062,digoxin,4.1,C01AA05
CID100003063,dihydrocodeine,4.1,N02AA08
CID100003066,dihydroergotamine,4.1,N02CA01
CID100003075,diltiazem,4.1,C08DB01
CID100010660,dimenhydrinate,4.1,
CID100003080,dimercaprol,4.1,V03AB09
CID100009354,dimercaptosuccinic,4.1,
CID100003100,diphenhydramine,4.1,D04AA32; N04AB01; R06AA02
CID100003105,dipivefrin,4.1,S01EA02
CID100003108,dipyridamole,4.1,B01AC07
CID100003114,disopyramide,4.1,C01BA03
CID100003117,disulfiram,4.1,N07BB01; P03AA04
CID100036811,dobutamine,4.1,C01CA07
CID100003143,docetaxel,4.1,L01CD02
CID100071329,dofetilide,4.1,C01BD04
CID100003148,dolasetron,4.1,A04AA04
CID146216142,dolutegravir,4.1,
CID100003151,domperidone,4.1,A03FA03
CID100003152,donepezil,4.1,N06DA02
CID100000681,dopamine,4.1,C01CA04
CID100073303,doripenem,4.1,J01DH04
CID100003154,dorzolamide,4.1,S01EC03
CID100003155,dothiepin,4.1,N06AA16
CID100003156,doxapram,4.1,R07AB01
CID100003157,doxazosin,4.1,C02CA04
CID100003158,doxepin,4.1,N06AA12
CID104479094,doxercalciferol,4.1,H05BX03
CID100001690,doxorubicin,4.1,L01DB01; L01DB03
CID100062305,doxycycline,4.1,
CID125880656,doxycycline,4.1,A01AB22; J01AA02
CID154682541,doxycycline,4.1,
CID100208898,dronedarone,4.1,
CID100003168,droperidol,4.1,N01AX01; N05AD08
CID100147740,drospirenone,4.1,
CID100060834,duloxetine,4.1,N06AX21
CID100152945,dutasteride,4.1,G04CB02
CID100003182,dyphylline,4.1,R03DA01
CID144201343,ecallantide,4.1,
CID100010547,echothiophate,4.1,S01EB03
CID100003198,econazole,4.1,D01AC03; G01AF05
CID100003202,edrophonium,4.1,
CID100003203,efavirenz,4.1,J05AG03
CID100489129,efinaconazole,4.1,
CID100003209,eicosapentaenoic,4.1,
CID100077993,eletriptan,4.1,N02CC06
CID111531537,eliglustat,4.1,
CID109846180,eltrombopag,4.1,B02BX05
CID105277135,elvitegravir,4.1,
CID100003219,emedastine,4.1,S01GX06
CID111949646,empagliflozin,4.1,
CID100060877,emtricitabine,4.1,J05AF09
CID100003226,enflurane,4.1,N01AB04
CID104659568,entacapone,4.1,N04BX02
CID100153941,entecavir,4.1,J05AF10
CID100005032,ephedrine,4.1,R01AA03; R01AB05; R01BA02; R03CA02; S01FB02
CID100003241,epinastine,4.1,R06AX24; S01GX10
CID100000838,epinephrine,4.1,A01AD01; B02BC09; C01CA24; R01AA14; R03AA01; S01EA01
CID100003060,epitopic,4.1,D07AC19
CID100150310,eplerenone,4.1,C03DA04
CID100060878,eprosartan,4.1,C09CA02
CID100003250,ergonovine,4.1,G02AB03
CID100003251,ergotamine,4.1,N02CA02
CID106331630,eribulin,4.1,
CID100176870,erlotinib,4.1,L01XE03
CID100150610,ertapenem,4.1,J01DH03
CID100003255,erythromycin,4.1,D10AF02; J01FA01; S01AA17
CID100012559,erythromycin,4.1,
CID100071469,erythromycin,4.1,
CID100114709,eslicarbazepine,4.1,N03AF04
CID100179344,eslicarbazepine,4.1,
CID100059768,esmolol,4.1,C07AB09
CID100130564,esomeprazole,4.1,
CID100003261,estazolam,4.1,N05CD04
CID100000450,estradiol,4.1,G03CA03; L02AA02
CID100003263,estradiol,4.1,
CID100003267,estradiol,4.1,
CID100003268,estramustine,4.1,
CID100018140,estramustine,4.1,L01XX11
CID100003269,estriol,4.1,G03CA04; G03CC06
CID100000698,estrone,4.1,G03CA07; G03CC04
CID100003278,ethacrynic,4.1,C03CC01
CID100003279,ethambutol,4.1,J04AK02
CID102761171,ethionamide,4.1,J04AD03
CID100003291,ethosuximide,4.1,N03AD01
CID100003292,ethotoin,4.1,N03AB01
CID100003305,etidronate,4.1,M05BA01
CID100003308,etodolac,4.1,M01AB08
CID100036339,etomidate,4.1,N01AX07
CID100003310,etoposide,4.1,L01CB01
CID100060668,etoposide,4.1,
CID100123619,etoricoxib,4.1,M01AH05
CID100193962,etravirine,4.1,J05AG04
CID106442177,everolimus,4.1,L01XE10; L04AA18
CID100060198,exemestane,4.1,L02BG06
CID116156130,exenatide,4.1,A10BX04
CID100150311,ezetimibe,4.1,C10AX09
CID100003324,famciclovir,4.1,J05AB09; S01AD07
CID100003325,famotidine,4.1,A02BA03
CID100134018,febuxostat,4.1,M04AA03
CID100003331,felbamate,4.1,N03AX10
CID100003333,felodipine,4.1,C08CA02
CID100003339,fenofibrate,4.1,C10AB05
CID100064929,fenofibric,4.1,
CID100003340,fenoldopam,4.1,C01CA19
CID100003342,fenoprofen,4.1,M01AE04
